PC:C616 A:24 X:13 Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:12 X:13 Y:00 S:FD P:24 INST:D0 FB 98
PC:C614 A:12 X:13 Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:12 X:13 Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:09 X:13 Y:00 S:FD P:24 INST:D0 FB 98
PC:C614 A:09 X:13 Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:09 X:13 Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:04 X:13 Y:00 S:FD P:25 INST:D0 FB 98
PC:C614 A:04 X:13 Y:00 S:FD P:25 INST:B0 08 4A
PC:C61E A:04 X:13 Y:00 S:FD P:25 INST:E8 10 E5
PC:C61F A:04 X:14 Y:00 S:FD P:25 INST:10 E5 20
PC:C606 A:04 X:14 Y:00 S:FD P:25 INST:86 3C 8A
PC:C608 A:04 X:14 Y:00 S:FD P:25 INST:8A 0A 24
PC:C609 A:14 X:14 Y:00 S:FD P:25 INST:0A 24 3C
PC:C60A A:28 X:14 Y:00 S:FD P:24 INST:24 3C F0
PC:C60C A:28 X:14 Y:00 S:FD P:26 INST:F0 10 05
PC:C61E A:28 X:14 Y:00 S:FD P:26 INST:E8 10 E5
PC:C61F A:28 X:15 Y:00 S:FD P:24 INST:10 E5 20
PC:C606 A:28 X:15 Y:00 S:FD P:24 INST:86 3C 8A
PC:C608 A:28 X:15 Y:00 S:FD P:24 INST:8A 0A 24
PC:C609 A:15 X:15 Y:00 S:FD P:24 INST:0A 24 3C
PC:C60A A:2A X:15 Y:00 S:FD P:24 INST:24 3C F0
PC:C60C A:2A X:15 Y:00 S:FD P:26 INST:F0 10 05
PC:C61E A:2A X:15 Y:00 S:FD P:26 INST:E8 10 E5
PC:C61F A:2A X:16 Y:00 S:FD P:24 INST:10 E5 20
PC:C606 A:2A X:16 Y:00 S:FD P:24 INST:86 3C 8A
PC:C608 A:2A X:16 Y:00 S:FD P:24 INST:8A 0A 24
PC:C609 A:16 X:16 Y:00 S:FD P:24 INST:0A 24 3C
PC:C60A A:2C X:16 Y:00 S:FD P:24 INST:24 3C F0
PC:C60C A:2C X:16 Y:00 S:FD P:24 INST:F0 10 05
PC:C60E A:2C X:16 Y:00 S:FD P:24 INST:05 3C 49
PC:C610 A:3E X:16 Y:00 S:FD P:24 INST:49 FF 29
PC:C612 A:C1 X:16 Y:00 S:FD P:A4 INST:29 7E B0
PC:C614 A:40 X:16 Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:40 X:16 Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:20 X:16 Y:00 S:FD P:24 INST:D0 FB 98
PC:C614 A:20 X:16 Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:20 X:16 Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:10 X:16 Y:00 S:FD P:24 INST:D0 FB 98
PC:C614 A:10 X:16 Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:10 X:16 Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:08 X:16 Y:00 S:FD P:24 INST:D0 FB 98
PC:C614 A:08 X:16 Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:08 X:16 Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:04 X:16 Y:00 S:FD P:24 INST:D0 FB 98
PC:C614 A:04 X:16 Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:04 X:16 Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:02 X:16 Y:00 S:FD P:24 INST:D0 FB 98
PC:C614 A:02 X:16 Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:02 X:16 Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:01 X:16 Y:00 S:FD P:24 INST:D0 FB 98
PC:C614 A:01 X:16 Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:01 X:16 Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:00 X:16 Y:00 S:FD P:27 INST:D0 FB 98
PC:C619 A:00 X:16 Y:00 S:FD P:27 INST:98 9D 56
PC:C61A A:00 X:16 Y:00 S:FD P:27 INST:9D 56 03
PC:C61D A:00 X:16 Y:00 S:FD P:27 INST:C8 E8 10
PC:C61E A:00 X:16 Y:01 S:FD P:25 INST:E8 10 E5
PC:C61F A:00 X:17 Y:01 S:FD P:25 INST:10 E5 20
PC:C606 A:00 X:17 Y:01 S:FD P:25 INST:86 3C 8A
PC:C608 A:00 X:17 Y:01 S:FD P:25 INST:8A 0A 24
PC:C609 A:17 X:17 Y:01 S:FD P:25 INST:0A 24 3C
PC:C60A A:2E X:17 Y:01 S:FD P:24 INST:24 3C F0
PC:C60C A:2E X:17 Y:01 S:FD P:24 INST:F0 10 05
PC:C60E A:2E X:17 Y:01 S:FD P:24 INST:05 3C 49
